Site,Cost 19/20 (Electric),Consumption 19/20 (Electric),Cost 18/19 (Electric),Consumption 18/19 (Electric),Cost 19/20 (Gas),Consumption 19/20 (Gas),Cost 18/19 (Gas) ,Consumption 18/19 (Gas),Total Cost 19/20,Total Consumption 19/20,"CO2e
(grams)",,,,CO2 Conversion factors,
Housing Leeds - Landlords Supply - Block 18 St James Walk Flats  ,£439.22,2206.5,£478.50,2645.4,,,,,£439.22,2206.5,563.98,,,,,
Housing Leeds - Landlords Supply - Block 19 St James Drive Flats  ,£522.31,2756.7,£479.00,2704.5,,,,,£522.31,2756.7,704.61,,,,,
Housing Leeds - Landlords Supply - Block 2 Alderton Heights Multistorey  ,"£5,118.15",37024.1,"£5,481.70",36437.9,,,,,"£5,118.15",37024.1,"9,463.36",,,,,
Housing Leeds - Landlords Supply - Block 2 Halliday Road Flats  ,£374.79,1777.7,£359.11,1768.9,,,,,£374.79,1777.7,454.38,,,,,
Housing Leeds - Landlords Supply - Block 2 Poplar Mount Multistorey  ,"£7,423.65",52835,"£5,016.93",35362,,,,,"£7,423.65",52835,"13,504.63",,,,,
Housing Leeds - Landlords Supply - Block 2 Victoria Street Flats  ,£525.44,2757.9,£410.06,2183.5,,,,,£525.44,2757.9,704.92,,,,,
Housing Leeds - Landlords Supply - Block 21 St James Drive Flats  ,£449.21,2293.8,£467.29,2558.6,,,,,£449.21,2293.8,586.30,,,,,
Housing Leeds - Landlords Supply - Block 23 St James Drive Flats  ,£401.13,1962.2,£510.16,2860.9,,,,,£401.13,1962.2,501.54,,,,,
Housing Leeds - Landlords Supply - Block 25 St James Drive Flats  ,£454.08,2237.2,£558.76,3311.5,,,,,£454.08,2237.2,571.83,,,,,
Housing Leeds - Landlords Supply - Block 27 St James Drive Flats  ,£451.28,2282.5,£492.07,2733.8,,,,,£451.28,2282.5,583.41,,,,,
Housing Leeds - Landlords Supply - Block 3 Alderton Heights Multistorey  ,"£5,386.41",38977,"£6,084.02",39790.4,,,,,"£5,386.41",38977,"9,962.52",,,,,
Housing Leeds - Landlords Supply - Block 3 Halliday Road Flats  ,£329.90,1469,£321.54,1500.8,,,,,£329.90,1469,375.48,,,,,
Housing Leeds - Landlords Supply - Block 34 St James Drive Flats  ,£614.95,3288.4,£838.36,5219.1,,,,,£614.95,3288.4,840.52,,,,,
Housing Leeds - Landlords Supply - Block 4 Halliday Road Flats  ,£324.49,1438.6,£297.22,1313.3,,,,,£324.49,1438.6,367.71,,,,,
Housing Leeds - Landlords Supply - Block 5 Halliday Road Flats  ,£383.80,1842.2,£364.46,1824.9,,,,,£383.80,1842.2,470.87,,,,,
Housing Leeds - Landlords Supply - Block 5 St James Avenue Flats  ,£902.22,4869.7,£455.37,2467.3,,,,,£902.22,4869.7,"1,244.70",,,,,
Housing Leeds - Landlords Supply - Block B Abbey Garth Flats  ,£192.88,530.7,£198.34,615.2,,,,,£192.88,530.7,135.65,,,,,
Housing Leeds - Landlords Supply - Boston Towers Multistorey  ,"£6,798.79",37137.4,"£6,764.32",40251.5,,,,,"£6,798.79",37137.4,"9,492.32",,,,,
Housing Leeds - Landlords Supply - Brecon Court Multistorey  ,"£10,571.87",79532.3,"£10,140.39",72768.9,,,,,"£10,571.87",79532.3,"20,328.46",,,,,
Housing Leeds - Landlords Supply - Brecon Rise Multistorey           ,"£7,052.40",51531.1,"£8,070.07",52290.6,,,,,"£7,052.40",51531.1,"13,171.35",,,,,
Housing Leeds - Landlords Supply - Briarsdale Court Multistorey  ,"£5,783.70",42295,"£7,137.96",44717.3,,,,,"£5,783.70",42295,"10,810.60",,,,,
Housing Leeds - Landlords Supply - Briarsdale Croft Multistorey  ,"£7,597.27",55559,"£7,231.29",46747.5,,,,,"£7,597.27",55559,"14,200.88",,,,,
Housing Leeds - Landlords Supply - Briarsdale Heights Multistorey  ,"£5,951.74",43007.4,"£7,959.07",52723.1,,,,,"£5,951.74",43007.4,"10,992.69",,,,,
Housing Leeds - Landlords Supply - Broadfields - 19 - 22 King George Road  ,£246.79,906.1,£235.88,882.3,,,,,£246.79,906.1,231.60,,,,,
Housing Leeds - Landlords Supply - Bronte House  ,£546.88,2876.2,£587.84,3449.4,,,,,£546.88,2876.2,735.16,,,,,
Housing Leeds - Landlords Supply - Brooklands Towers Multistorey  ,"£5,292.62",37165.3,"£5,566.90",35945.4,£133.27,3697.17,£140.20,3700.14,"£5,425.89",40862.47,"9,526.68",,,,,
Housing Leeds - Landlords Supply - Burnsall Croft Multistorey  ,"£13,363.21",82418.4,"£12,743.85",82490.5,,,,,"£13,363.21",82418.4,"21,066.14",,,,,
Housing Leeds - Landlords Supply - Burnsall Gardens Multistorey  ,"£6,119.62",44267.4,"£7,292.85",47964.5,,,,,"£6,119.62",44267.4,"11,314.75",,,,,
Housing Leeds - Landlords Supply - Burnsall Grange Multistorey  ,"£9,003.12",63946,"£11,522.35",72818,,,,,"£9,003.12",63946,"16,344.60",,,,,
Housing Leeds - Landlords Supply - Cherry Court Multistorey  ,"£7,347.92",40135,"£6,419.46",38268,,,,,"£7,347.92",40135,"10,258.51",,,,,
Housing Leeds - Landlords Supply - Clayton Court Multistorey  ,"£4,038.45",30331.2,"£12,713.60",81572.1,,,,,"£4,038.45",30331.2,"7,752.65",,,,,
Housing Leeds - Landlords Supply - Clayton Grange Multistorey   ,"£5,254.28",38146.6,"£5,375.03",33767.1,,,,,"£5,254.28",38146.6,"9,750.27",,,,,
Housing Leeds - Landlords Supply - Clyde Court Multistorey  ,"£10,813.72",76408.5,"£11,985.67",77801.3,,,,,"£10,813.72",76408.5,"19,530.01",,,,,
Housing Leeds - Landlords Supply - Clyde Grange Multistorey   ,"£8,832.15",64632.5,"£9,497.73",62713,,,,,"£8,832.15",64632.5,"16,520.07",,,,,
Housing Leeds - Landlords Supply - Communal Lighting adjacent 25 Hyde Park Close  ,£161.88,339.3,£161.02,339.3,,,,,£161.88,339.3,86.73,,,,,
Housing Leeds - Landlords Supply - Communal Lighting adjacent 36 Hyde Park Close  ,£392.16,1800.1,£496.80,2805.1,,,,,£392.16,1800.1,460.11,,,,,
Housing Leeds - Landlords Supply - Cranmer Bank Shopping Parade  ,"£1,032.69",6201.8,£963.37,6064,,,,,"£1,032.69",6201.8,"1,585.18",,,,,
Housing Leeds - Landlords Supply - Crescent Towers Multistorey Community Centre  ,"£5,006.64",35692.1,"£4,819.28",31634.2,£29.43,0,£28.39,0,"£5,036.07",35692.1,"9,128.91",,,,,
Housing Leeds - Landlords Supply - Cromwell Heights Multistorey   ,"£15,672.92",114187.4,"£16,585.06",109602,,,,,"£15,672.92",114187.4,"29,186.30",,,,,
Housing Leeds - Landlords Supply - Denbigh Croft Multistorey    ,"£8,079.08",60447.6,"£10,303.97",66045.7,,,,,"£8,079.08",60447.6,"15,450.41",,,,,
Housing Leeds - Landlords Supply - Denbigh Heights Multistorey                       ,"£9,086.39",63380,"£8,150.45",52623,,,,,"£9,086.39",63380,"16,199.93",,,,,
Housing Leeds - Landlords Supply - Fairfield House  ,£151.02,154,£134.87,148.7,,,,,£151.02,154,39.36,,,,,
Housing Leeds - Landlords Supply - Ferriby Towers Multistorey  ,"£6,078.43",32986,"£5,970.93",35410,,,,,"£6,078.43",32986,"8,431.22",,,,,
Housing Leeds - Landlords Supply - Gamble Hill Croft Multistorey  ,"£8,715.95",59500,"£9,598.28",62144.4,,,,,"£8,715.95",59500,"15,208.20",,,,,
Housing Leeds - Landlords Supply - Gamble Hill Grange Multistorey   ,"£5,417.61",39712.1,"£7,307.31",47626.9,,,,,"£5,417.61",39712.1,"10,150.41",,,,,
Housing Leeds - Landlords Supply - Gipton Gate East Multistorey  ,"£2,468.98",20813.7,"£4,745.50",29782.9,,,,,"£2,468.98",20813.7,"5,319.98",,,,,
Housing Leeds - Landlords Supply - Gipton Gate West Multistorey   ,"£4,423.42",29760.2,"£8,170.69",50610.4,,,,,"£4,423.42",29760.2,"7,606.71",,,,,
Housing Leeds - Landlords Supply - Gledhow Towers Multistorey  ,"£4,508.92",24456.7,"£4,027.73",23652,,,,,"£4,508.92",24456.7,"6,251.13",,,,,
Housing Leeds - Landlords Supply - Grantham Towers Multistorey  ,"£6,414.38",34930,"£5,899.59",34834.8,,,,,"£6,414.38",34930,"8,928.11",,,,,
Housing Leeds - Landlords Supply - Grayson Crest Multistorey  ,"£8,675.40",62668.2,"£9,195.69",62036.2,,,,,"£8,675.40",62668.2,"16,017.99",,,,,
Housing Leeds - Landlords Supply - Greystones  ,£377.28,1788.8,£373.25,1858.1,,,,,£377.28,1788.8,457.22,,,,,
Housing Leeds - Landlords Supply - Highfield Court Flats  ,£160.23,205.9,£150.77,154.5,,,,,£160.23,205.9,52.63,,,,,
Housing Leeds - Landlords Supply - Hillside  ,£358.72,1560.1,£308.75,1431.3,,,,,£358.72,1560.1,398.76,,,,,
Housing Leeds - Landlords Supply - Holborn Towers Multistorey   ,"£12,939.57",88957.2,"£13,062.03",86585.7,,,,,"£12,939.57",88957.2,"22,737.46",,,,,
Housing Leeds - Landlords Supply - Lakeland Court Multistorey  ,"£55,324.56",428251.7,"£60,219.20",532507.6,,,,,"£55,324.56",428251.7,"109,461.13",,,,,
Housing Leeds - Landlords Supply - Leafield Towers Multistorey  ,"£4,901.18",32658.7,"£4,248.50",31664.2,,,,,"£4,901.18",32658.7,"8,347.56",,,,,
Housing Leeds - Landlords Supply - Lidgett Towers Multistorey  ,"£5,149.43",27260.4,"£3,854.42",22767.3,,,,,"£5,149.43",27260.4,"6,967.76",,,,,
Housing Leeds - Landlords Supply - Lincoln Green Road Shops  ,"£2,032.76",12838.6,"£2,001.47",12469.4,,,,,"£2,032.76",12838.6,"3,281.55",,,,,
Housing Leeds - Landlords Supply - Lincoln Towers Multistorey   ,"£5,432.49",39010.7,"£5,926.95",38454.1,,,,,"£5,432.49",39010.7,"9,971.13",,,,,
Housing Leeds - Landlords Supply - Lindsey Mount Multistorey  ,"£6,647.61",36396,"£6,343.72",37586.6,,,,,"£6,647.61",36396,"9,302.82",,,,,
Housing Leeds - Landlords Supply - Lovell Park Grange Multistorey  ,"£11,589.47",67305.2,"£10,371.54",65106.8,,,,,"£11,589.47",67305.2,"17,203.21",,,,,
Housing Leeds - Landlords Supply - Lovell Park Heights Multistorey  ,"£9,417.73",68223.5,"£8,140.74",52795,,,,,"£9,417.73",68223.5,"17,437.93",,,,,
Housing Leeds - Landlords Supply - Lovell Park Towers Multistorey  ,"£10,009.92",74932.2,"£11,766.51",74729.6,,,,,"£10,009.92",74932.2,"19,152.67",,,,,
Housing Leeds - Landlords Supply - Marlborough Towers Multistorey  ,"£10,323.30",73310,"£10,343.72",67534.8,,,,,"£10,323.30",73310,"18,738.04",,,,,
Housing Leeds - Landlords Supply - Marsden Court Multistorey  ,"£12,652.78",88910,"£13,744.72",88997.5,,,,,"£12,652.78",88910,"22,725.40",,,,,
Housing Leeds - Landlords Supply - Marston Mount Multistorey  ,"£6,163.21",33311.6,"£6,121.09",36271.8,,,,,"£6,163.21",33311.6,"8,514.44",,,,,
Housing Leeds - Landlords Supply - Melbourne Place Flats  ,£156.39,288,£153.23,280.6,,,,,£156.39,288,73.61,,,,,
Housing Leeds - Landlords Supply - Moor Grange Court Multistorey  ,"£6,142.32",33701.1,"£5,740.44",33841.9,,,,,"£6,142.32",33701.1,"8,614.00",,,,,
Housing Leeds - Landlords Supply - Mount Pleasant Gardens - Block C  ,£366.25,1697,£354.13,1736.6,,,,,£366.25,1697,433.75,,,,,
Housing Leeds - Landlords Supply - Mount Pleasant Gardens - Block F  ,£380.04,1689.2,£362.31,1690.3,,,,,£380.04,1689.2,431.76,,,,,
Housing Leeds - Landlords Supply - Naseby Grange Multistorey     ,"£12,326.17",74771.5,"£9,892.27",67019.9,,,,,"£12,326.17",74771.5,"19,111.60",,,,,
Housing Leeds - Landlords Supply - Norman Towers Multistorey  ,"£6,249.07",34291.1,"£4,607.25",27157.8,,,,,"£6,249.07",34291.1,"8,764.81",,,,,
Housing Leeds - Landlords Supply - Parkway Court Multistorey    ,"£8,495.84",63675.4,"£9,599.79",57722.9,,,,,"£8,495.84",63675.4,"16,275.43",,,,,
Housing Leeds - Landlords Supply - Parkway Grange Multistorey    ,"£14,263.80",104701.7,"£9,895.91",67577.7,,,,,"£14,263.80",104701.7,"26,761.75",,,,,
Housing Leeds - Landlords Supply - Parkway Towers Multistorey  ,"£10,919.85",77737.1,"£10,990.54",72064.7,,,,,"£10,919.85",77737.1,"19,869.60",,,,,
Housing Leeds - Landlords Supply - Pembroke Grange Multistorey  ,"£9,045.19",68005,"£7,542.89",50193.6,,,,,"£9,045.19",68005,"17,382.08",,,,,
Housing Leeds - Landlords Supply - Pembroke Towers Multistorey                       ,"£7,137.84",51705.8,"£7,447.64",49646.1,,,,,"£7,137.84",51705.8,"13,216.00",,,,,
Housing Leeds - Landlords Supply - Poplar Court Multistorey  ,"£4,193.00",30827.3,"£4,724.64",31393.1,,,,,"£4,193.00",30827.3,"7,879.46",,,,,
Housing Leeds - Landlords Supply - Poplar Court Multistorey   ,"£3,548.90",25674.2,"£4,344.88",29399.5,,,,,"£3,548.90",25674.2,"6,562.33",,,,,
Housing Leeds - Landlords Supply - Potternewton Heights Multistorey           ,"£7,371.13",52066.7,"£11,024.52",72698.1,,,,,"£7,371.13",52066.7,"13,308.25",,,,,
Housing Leeds - Landlords Supply - Queenswood Court Multistorey    ,"£13,664.69",102094.4,"£13,955.56",94950.2,,,,,"£13,664.69",102094.4,"26,095.33",,,,,
Housing Leeds - Landlords Supply - Queenswood Heights Multistorey  ,"£7,001.18",49509.2,"£7,668.42",49545,,,,,"£7,001.18",49509.2,"12,654.55",,,,,
Housing Leeds - Landlords Supply - Ramshead Heights Multistorey   ,"£2,769.36",21616.4,"£3,974.69",24731.3,,,,,"£2,769.36",21616.4,"5,525.15",,,,,
Housing Leeds - Landlords Supply - Raynville Court Multistorey   ,"£2,829.79",20003.8,"£3,394.72",21819.8,,,,,"£2,829.79",20003.8,"5,112.97",,,,,
Housing Leeds - Landlords Supply - Raynville Grange Multistorey  ,"£5,112.19",36058.1,"£5,588.19",36088.4,,,,,"£5,112.19",36058.1,"9,216.45",,,,,
Housing Leeds - Landlords Supply - Roxby Close Multistorey    ,"£5,327.61",39478.6,"£5,972.53",38615.6,,,,,"£5,327.61",39478.6,"10,090.73",,,,,
Housing Leeds - Landlords Supply - Rycroft Court Multistorey     ,"£5,067.67",36907.5,"£4,627.36",31563.9,,,,,"£5,067.67",36907.5,"9,433.56",,,,,
Housing Leeds - Landlords Supply - Rycroft Place Multistorey   ,"£2,306.52",17770.6,"£2,653.40",17953,,,,,"£2,306.52",17770.6,"4,542.17",,,,,
Housing Leeds - Landlords Supply - Rycroft Towers Multistorey  ,"£4,887.06",27510.3,"£3,684.11",22457.6,,,,,"£4,887.06",27510.3,"7,031.63",,,,,
Housing Leeds - Landlords Supply - Saville Green Multistorey   ,"£12,212.49",74493.1,"£8,597.76",57111,,,,,"£12,212.49",74493.1,"19,040.44",,,,,
Housing Leeds - Landlords Supply - Seacroft Gate Multistorey  ,"£13,041.82",71152.5,"£11,836.05",70296.9,,,,,"£13,041.82",71152.5,"18,186.58",,,,,
Housing Leeds - Landlords Supply - Shakespeare Court Multistorey  ,"£13,103.56",87054.7,"£15,225.68",98919.6,,,,,"£13,103.56",87054.7,"22,251.18",,,,,
Housing Leeds - Landlords Supply - Shakespeare Grange Multistorey  ,"£10,322.36",68497.7,"£11,257.09",79507.9,,,,,"£10,322.36",68497.7,"17,508.01",,,,,
Housing Leeds - Landlords Supply - Shakespeare Towers Multistorey      ,"£2,630.93",16137.7,"£2,108.72",14431.6,,,,,"£2,630.93",16137.7,"4,124.80",,,,,
Housing Leeds - Landlords Supply - Spalding Towers Multistorey  ,"£6,138.64",37930.5,"£6,260.98",37181.7,,,,,"£6,138.64",37930.5,"9,695.04",,,,,
Housing Leeds - Landlords Supply - The Broadwalk Flats  ,"£1,861.05",10908,"£1,663.33",10548.6,,,,,"£1,861.05",10908,"2,788.08",,,,,
Housing Leeds - Landlords Supply - The Heights East Multistorey  ,"£5,970.03",32688.8,"£5,229.85",30438.6,,,,,"£5,970.03",32688.8,"8,355.26",,,,,
Housing Leeds - Landlords Supply - The Heights West Multistorey  ,"£5,756.76",31386.7,"£5,617.38",33314.1,,,,,"£5,756.76",31386.7,"8,022.44",,,,,
Housing Leeds - Landlords Supply - The Highways Multistorey  ,"£4,108.23",28675.6,"£5,159.29",33608.7,,,,,"£4,108.23",28675.6,"7,329.48",,,,,
Housing Leeds - Landlords Supply - The Highways Multistorey      ,"£4,462.45",32368.4,"£4,963.11",32882.1,,,,,"£4,462.45",32368.4,"8,273.36",,,,,
Housing Leeds - Landlords Supply - The Plantation  ,"£3,236.22",19354.3,"£3,557.19",21024.4,,,,,"£3,236.22",19354.3,"4,946.96",,,,,
Housing Leeds - Landlords Supply - Torre Gardens Multistorey  ,"£5,468.55",32783.8,"£4,806.92",31258.8,,,,,"£5,468.55",32783.8,"8,379.54",,,,,
Housing Leeds - Landlords Supply - Torre Green Multistorey  ,"£2,898.04",22161.9,"£3,924.76",24796,,,,,"£2,898.04",22161.9,"5,664.58",,,,,
Housing Leeds - Landlords Supply - Westerly Croft Multistorey   ,"£5,791.05",39929.7,"£9,945.48",65441.3,,,,,"£5,791.05",39929.7,"10,206.03",,,,,
Housing Leeds - Landlords Supply - Westerly Rise Multistorey  ,"£5,190.60",36917.3,"£7,577.27",50192.7,,,,,"£5,190.60",36917.3,"9,436.06",,,,,
Housing Leeds - Landlords Supply - Whincover Grange Multistorey  ,"£6,716.38",48527.6,"£7,221.73",47609.5,,,,,"£6,716.38",48527.6,"12,403.65",,,,,
Housing Leeds - Landlords Supply - Wilkinson Way Flats  ,£940.12,5469.3,£869.82,5368.4,,,,,£940.12,5469.3,"1,397.95",,,,,
Housing Leeds - Landlords Supply - Wortley Heights Multistorey  ,"£11,525.62",85740.5,"£11,921.78",78627.2,,,,,"£11,525.62",85740.5,"21,915.27",,,,,
Housing Leeds - Landlords Supply - Wortley Towers Multistorey   ,"£13,122.94",94853.6,"£13,908.25",94251.9,,,,,"£13,122.94",94853.6,"24,244.58",,,,,
Housing Leeds - PFI Landlords Supply - 1 - 11 Carlton Gate  ,"£1,012.88",6078.1,£932.60,5871.2,,,,,"£1,012.88",6078.1,"1,553.56",,,,,
Housing Leeds - PFI Landlords Supply - 1 - 11 Hunslet Hall Close  ,£221.20,823.3,£158.67,996.1,,,,,£221.20,823.3,210.44,,,,,
Housing Leeds - PFI Landlords Supply - 1 - 17 Carr Place  ,£821.53,4822.6,£850.83,5950.6,,,,,£821.53,4822.6,"1,232.66",,,,,
Housing Leeds - PFI Landlords Supply - 1 - 19 Primrose Circus  ,"£1,439.02",8989.3,"£1,258.84",8300.4,,,,,"£1,439.02",8989.3,"2,297.67",,,,,
Housing Leeds - PFI Landlords Supply - 1 - 19 Temple Garth  ,£645.05,3754.7,£588.57,3992.1,,,,,£645.05,3754.7,959.70,,,,,
Housing Leeds - PFI Landlords Supply - 1 - 25 Carlton Gardens  ,"£1,651.01",10063.5,"£1,659.22",11124.3,,,,,"£1,651.01",10063.5,"2,572.23",,,,,
Housing Leeds - PFI Landlords Supply - 11 - 23 Bismarck Drive  ,£429.06,2201.9,£509.20,3482,,,,,£429.06,2201.9,562.81,,,,,
Housing Leeds - PFI Landlords Supply - 128 - 144 Holbeck Moor Road  ,£635.29,3658.9,£511.01,3503.8,,,,,£635.29,3658.9,935.21,,,,,
Housing Leeds - PFI Landlords Supply - 14 - 24 Carlton Gate  ,£829.07,4812.3,£943.78,5963.3,,,,,£829.07,4812.3,"1,230.02",,,,,
Housing Leeds - PFI Landlords Supply - 14 - 24 Meynell Walk  ,£326.42,1416.4,£321.12,1512.9,,,,,£326.42,1416.4,362.03,,,,,
Housing Leeds - PFI Landlords Supply - 141 - 151 Malvern Road  ,£799.21,4631.2,£391.09,2793.2,,,,,£799.21,4631.2,"1,183.73",,,,,
Housing Leeds - PFI Landlords Supply - 15 - 25 Carlton Gate  ,£943.69,5568.1,"£1,065.84",6838.7,,,,,£943.69,5568.1,"1,423.21",,,,,
Housing Leeds - PFI Landlords Supply - 16 - 30 Amber Close  ,£852.16,5101.1,£903.20,6292.1,,,,,£852.16,5101.1,"1,303.84",,,,,
Housing Leeds - PFI Landlords Supply - 19 - 29 Carlton Rise  ,£965.49,5781.7,£834.39,5228.2,,,,,£965.49,5781.7,"1,477.80",,,,,
Housing Leeds - PFI Landlords Supply - 19 - 33 Carr Place  ,£799.14,4770.2,£626.23,4289.7,,,,,£799.14,4770.2,"1,219.26",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 12 Carlton Gate  ,£937.76,5568.1,£898.43,5609.8,,,,,£937.76,5568.1,"1,423.21",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 12 Meynell Square  ,£258.42,992.6,£258.09,1040.1,,,,,£258.42,992.6,253.71,,,,,
Housing Leeds - PFI Landlords Supply - 2 - 14 Amber Close  ,"£1,351.97",7539.3,"£1,019.26",6462.7,,,,,"£1,351.97",7539.3,"1,927.05",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 20 Carlton Carr  ,"£1,070.13",6365.9,"£1,020.60",7158.1,,,,,"£1,070.13",6365.9,"1,627.12",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 32 Carlton Gardens  ,"£1,094.05",6583.1,"£1,175.70",7599.2,,,,,"£1,094.05",6583.1,"1,682.64",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 38 Holbeck Moor Road  ,"£1,155.03",6980.6,£610.29,4422.5,,,,,"£1,155.03",6980.6,"1,784.24",,,,,
Housing Leeds - PFI Landlords Supply - 2 - 8 Temple Garth  ,£395.26,2031.6,£319.33,2123.3,,,,,£395.26,2031.6,519.28,,,,,
Housing Leeds - PFI Landlords Supply - 25 - 35 Bismarck Drive  ,£421.62,2165.8,£470.62,3202.1,,,,,£421.62,2165.8,553.58,,,,,
Housing Leeds - PFI Landlords Supply - 31 - 41 Carlton Rise  ,£970.73,5746.3,"£1,076.35",6809.6,,,,,£970.73,5746.3,"1,468.75",,,,,
Housing Leeds - PFI Landlords Supply - 40 - 56 Holbeck Moor Road  ,£911.91,5388.9,£501.07,3603.6,,,,,£911.91,5388.9,"1,377.40",,,,,
Housing Leeds - PFI Landlords Supply - 43 - 77 Carlton Gate  ,"£2,129.12",11964.2,"£1,557.90",9740.3,,,,,"£2,129.12",11964.2,"3,058.05",,,,,
Housing Leeds - PFI Landlords Supply - 50 - 60 Carlton Rise  ,"£1,201.95",7317.6,"£1,116.23",7224.4,,,,,"£1,201.95",7317.6,"1,870.38",,,,,
Housing Leeds - PFI Landlords Supply - 53 - 59 Bismarck Street  ,£388.38,2048.6,£354.21,2295.4,,,,,£388.38,2048.6,523.62,,,,,
Housing Leeds - PFI Landlords Supply - 61 - 71 Bismarck Street  ,£508.28,2616.5,£318.99,2263,,,,,£508.28,2616.5,668.78,,,,,
Housing Leeds - PFI Landlords Supply - 62 - 72 Carlton Rise  ,£975.88,5778.4,£993.08,6373.8,,,,,£975.88,5778.4,"1,476.96",,,,,
Housing Leeds - PFI Landlords Supply - 72 - 88 Holbeck Moor Road  ,£541.69,3035.3,£456.72,3114.6,,,,,£541.69,3035.3,775.82,,,,,
Housing Leeds - PFI Landlords Supply - 73 - 95 Bismarck Drive  ,£663.81,3498.9,£401.60,2139.2,,,,,£663.81,3498.9,894.32,,,,,
Housing Leeds - PFI Landlords Supply - 9 - 17 Jenkinson Close  ,£461.13,2742.4,£410.94,2778.8,,,,,£461.13,2742.4,700.96,,,,,
Housing Leeds - PFI Landlords Supply - 90 - 110 Holbeck Moor Road  ,£921.11,5917,£605.11,4157.1,,,,,£921.11,5917,"1,512.39",,,,,
Housing Leeds - PFI Landlords Supply - 97 - 107 Bismarck Drive  ,£398.62,2280.5,£505.26,3445.2,,,,,£398.62,2280.5,582.90,,,,,
Housing Leeds - PFI Landlords Supply - Carlton Close Multistorey             ,"£4,471.79",32102.3,"£5,148.40",34136,,,,,"£4,471.79",32102.3,"8,205.35",,,,,
Housing Leeds - PFI Landlords Supply - Carlton Garth Multistorey  ,"£6,505.21",48123.3,"£6,423.63",43957.5,,,,,"£6,505.21",48123.3,"12,300.32",,,,,
Housing Leeds - PFI Landlords Supply - Meynell Heights Multistorey  ,"£8,473.29",58043,"£9,099.28",57348.8,£29.43,0,£28.39,0,"£8,502.72",58043,"14,841.80",,,,,
Housing Leeds - PFI Landlords Supply - Oatland Court Multistorey  ,"£15,188.25",96892.7,"£15,225.70",100402.2,,,,,"£15,188.25",96892.7,"24,765.77",,,,,
Housing Leeds - PFI Landlords Supply - Oatland Heights Multistorey  ,"£7,317.21",53737.2,"£8,972.16",60275.9,,,,,"£7,317.21",53737.2,"13,735.23",,,,,
Housing Leeds - PFI Landlords Supply - Oatland Towers Multistorey  ,"£6,886.70",50737.5,"£8,246.57",54469.9,,,,,"£6,886.70",50737.5,"12,968.51",,,,,
Housing Leeds - PFI Landlords Supply - Sheltered Housing - Carlton Croft Multistorey  ,"£14,212.08",92971.8,"£11,354.78",75178.8,,,,,"£14,212.08",92971.8,"23,763.59",,,,,
Housing Leeds - PFI Landlords Supply - Sheltered Housing - Ingram Court  ,"£18,296.18",124348.7,"£20,456.76",134189.7,,,,,"£18,296.18",124348.7,"31,783.53",,,,,
Independent Living Project - 1 Cottingley Court  ,"£1,118.03",6807.3,"£1,100.16",7155.7,£228.39,7739.17,£230.53,7296.96,"£1,346.42",14546.47,"1,786.60",,,,,
Independent Living Project - 11 Bedford Place  ,£625.62,3448.6,£695.63,4219.7,£322.80,11703.83,£298.55,9301.3,£948.42,15152.43,947.40,,,,,
Independent Living Project - 176 South Parkway  ,£574.94,3124.9,£531.47,3020.5,£236.63,8137.93,£237.21,7659.41,£811.57,11262.83,847.06,,,,,
Independent Living Project - 18 Church Lane  ,£690.00,3941.9,£672.69,4132.7,£182.89,4802.64,£196.88,5092.75,£872.89,8744.54,"1,044.91",,,,,
Independent Living Project - 3A Farfield Drive  ,"£3,583.27",19472,"£3,396.53",20262,"£2,412.27",71988.92,"£2,405.36",70690.69,"£5,995.54",91460.92,"5,469.82",,,,,
Independent Living Project - 4 Bedford Place  ,£655.71,3646.1,£641.74,3704.2,£252.62,8065.3,£243.88,7042.3,£908.33,11711.4,983.55,,,,,
Independent Living Project - 5 Victoria Park Grove  ,£704.65,3997.2,£678.60,4094.4,£244.87,3824.83,£279.17,5600.08,£949.52,7822.03,"1,071.71",,,,,
Independent Living Project - 6 Ceres Court  ,£724.68,4171.8,£704.43,4279.1,£276.27,9350.65,£289.48,9424.24,"£1,000.95",13522.45,"1,122.75",,,,,
Independent Living Project - 6 Cottingley Court  ,£584.98,3061.6,£602.94,3459.3,,,,,£584.98,3061.6,782.54,,,,,
Independent Living Project - 6 Healey Croft  ,£676.50,3789.2,£696.98,4105.3,£285.40,9076.65,£294.86,8682.09,£961.90,12865.85,"1,026.82",,,,,
Independent Living Project - 6 Waterloo Court  ,,,,,£271.36,8888.56,£258.17,7606.82,£271.36,8888.56,55.43,,,,,
Independent Living Project - 7 Audby Close  ,£681.26,3824.7,£644.02,3872.2,£186.93,5279.02,£204.82,6090.59,£868.19,9103.72,"1,015.78",,,,,
Independent Living Project - 7 Cottingley Court  ,£411.30,2062.6,£248.07,982.3,£164.25,4862.05,£183.74,4574.63,£575.55,6924.65,560.75,,,,,
Independent Living Project - 8 Cottingley Court  ,£339.62,1534.5,£348.85,1708.8,£189.19,6475.67,£220.40,8585.89,£528.81,8010.17,430.87,,,,,
